id,name_en,name_mm,code,created_at,updated_at
1,Ayarwaddy,ဧရာဝတီတိုင်းဒေသကြီး,AYY,2021-07-28 13:00:24,2021-07-28 13:00:24
2,Bago,ပဲခူးတိုင်း,BGO,2021-07-28 13:00:24,2021-07-28 13:00:24
3,Chin,ချင်းပြည်နယ်,CHN,2021-07-28 13:00:24,2021-07-28 13:00:24
4,Kachin,ကချင်ပြည်နယ်,KCN,2021-07-28 13:00:24,2021-07-28 13:00:24
5,Kayar,ကယားပြည်နယ်,KYR,2021-07-28 13:00:24,2021-07-28 13:00:24
6,Kayin,ကရင်ပြည်နယ်,KYN,2021-07-28 13:00:24,2021-07-28 13:00:24
7,Magway,မကွေးတိုင်း,MGW,2021-07-28 13:00:24,2021-07-28 13:00:24
8,Mandalay,မန္တလေးတိုင်း,MDY,2021-07-28 13:00:24,2021-07-28 13:00:24
9,Mon,မွန်ပြည်နယ်,MON,2021-07-28 13:00:24,2021-07-28 13:00:24
10,Naypyitaw,နေပြည်တော် နယ်မြေ,NPT,2021-07-28 13:00:24,2021-07-28 13:00:24
11,Rakhine,ရခိုင်ပြည်နယ်,RKE,2021-07-28 13:00:24,2021-07-28 13:00:24
12,Sagaing,စစ်ကိုင်းတိုင်း,SGG,2021-07-28 13:00:24,2021-07-28 13:00:24
13,Shan,ရှမ်းပြည်နယ်,SHN,2021-07-28 13:00:24,2021-07-28 13:00:24
14,Tanintharyi,တနင်္သာရီတိုင်း,TNY,2021-07-28 13:00:24,2021-07-28 13:00:24
15,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,YGN,2021-07-28 13:00:24,2021-07-28 13:00:24
